100
71 19
8 22 16 41 74 10 42 19 7 3 26 9 30 13 62 59 4 11 44 29 34 1 5 12 52 23 66 71 45 31 57 68 64 48 14 65 49 54 69 39 46 72 51 56 73 43 21 24 15 2 33 55 75 32 58 61 25 17 63 27 6 20 38 60 35 18 36 40 50 70 47
608 225 553 501
49 10 28 48 55
40 17 57 58 35
38 52 42 66 56
34 14 70 47 71
8 5 53 63 7
42 51 36 34 31
29 57 27 56 75
7 21 69 17 47
5 62 28 48 70
38 35 71 24 18
1 22 55 35 3
34 27 70 30 54
17 48 2 57 16
11 7 21 39 42
58 56 63 47 66
29 57 2 34 49
38 18 5 59 22
36 10 66 39 7
24 33 30 70 51
62 71 35 14 31
62 59 57 5 69
27 56 36 14 22
71 40 58 47 54
17 66 53 48 52
51 34 42 1 50
52 30 40 11 33
31 62 59 69 42
16 1 18 47 53
13 7 14 39 36
15 38 21 49 58
1 21 56 33 18
66 39 59 30 49
17 16 14 3 24
53 57 15 55 5
11 13 75 69 71
36 27 22 47 56
24 75 3 31 18
10 2 33 69 34
35 30 40 62 52
39 38 16 57 66
48 3 58 47 62
69 63 38 54 10
56 27 59 66 49
55 18 35 40 11
39 13 53 36 50
71 1
35 28 57 50 15 69 58 13 64 30 56 41 19 51 72 16 62 71 14 3 27 49 21 45 61 20 2 23 17 18 24 60 74 22 26 75 67 40 34 54 52 68 66 53 43 39 6 65 37 59 70 32 36 11 4 38 5 10 46 44 7 47 29 31 42 25 73 55 12 8 33
847 816 961 578
23 65 17 21 6
35 51 41 67 64
66 59 62 22 72
16 2 39 68 56
3 34 50 24 53
32 19
61 23 29 57 14 67 17 50 62 59 22 56 65 31 39 1 6 37 9 45 64 32 8 41 38 4 51 43 40 53 60 54
581 440 466 417
17 46 23 31 53
5 36 9 33 59
51 8 26 75 54
32 39 1 74 14
45 25 38 29 22
23 2 54 14 6
57 45 4 30 37
8 43 32 56 38
1 17 7 33 64
51 22 26 29 67
64 1 65 32 54
36 31 6 14 29
39 23 52 46 37
19 62 22 50 40
69 38 59 56 15
29 17 15 62 43
65 4 22 14 69
9 1 52 5 19
26 59 32 61 54
8 57 53 71 41
50 22 69 32 43
75 54 5 45 59
31 15 6 4 71
40 19 8 2 56
23 64 62 29 37
9 19 61 25 56
30 54 71 36 6
75 15 69 59 50
40 62 23 53 72
31 2 67 57 52
40 7 9 17 50
4 65 45 64 37
62 33 25 75 74
36 71 8 51 23
30 54 72 52 60
9 40 54 36 31
50 58 15 2 6
60 45 51 17 22
26 23 52 62 25
41 74 53 57 71
2 45 56 57 60
64 33 22 38 59
31 26 25 39 65
41 36 52 6 43
15 46 75 69 50
33 31 19 32 74
58 5 54 65 60
52 1 30 38 75
45 9 71 29 67
37 59 41 46 2
41 31 58 2 17
50 19 26 14 22
39 54 53 60 40
38 45 32 59 6
71 62 74 56 8
4 46 36 51 39
5 29 14 53 32
22 7 19 56 1
33 31 62 75 43
72 9 30 67 65
40 22 72 9 2
25 23 74 14 57
37 5 30 43 36
32 31 33 41 8
58 53 1 15 56
25 62 30 69 39
33 61 64 2 45
4 53 7 22 60
23 41 26 67 52
19 71 56 6 8
64 19 53 58 36
50 40 46 69 45
31 22 5 37 61
15 17 71 51 38
74 8 23 67 39
36 51 38 39 26
62 56 54 57 23
22 4 43 9 59
58 71 60 61 46
17 14 30 31 29
59 56 40 39 62
30 50 15 52 37
32 61 43 9 29
54 71 51 53 69
17 57 7 25 46
46 40 5 17 33
67 69 74 41 43
31 7 50 29 56
59 37 39 15 64
30 71 61 65 75
33 72 46 57 23
61 69 31 74 9
38 60 1 7 64
37 53 45 43 65
26 75 36 5 17
73 20
50 16 19 26 5 71 47 12 24 31 11 72 74 60 68 28 41 48 30 49 64 65 20 42 59 73 14 3 57 52 22 23 61 6 58 63 69 18 40 54 46 9 15 13 1 51 70 33 62 34 45 36 29 75 66 8 4 21 35 27 10 67 17 43 39 55 2 53 37 56 44 32 7
708 52 67 415
13 20 73 46 30
3 58 41 6 61
52 50 60 24 19
64 69 9 54 70
62 74 28 49 59
13 16 1 57 14
15 52 46 5 63
59 23 33 73 24
30 68 71 54 9
42 61 49 62 6
31 69 28 58 14
16 70 9 13 12
15 59 64 46 24
26 61 30 23 5
22 19 63 57 18
31 34 65 22 51
15 62 64 26 73
46 74 47 71 42
16 28 1 30 48
14 60 6 40 5
52 73 24 20 68
65 47 18 23 51
70 19 31 54 3
59 58 62 26 61
12 46 48 72 11
72 1 22 23 71
15 30 46 24 26
16 28 5 70 14
59 68 40 63 12
42 20 33 54 57
6 58 31 13 34
28 1 63 59 20
19 52 48 65 51
11 14 3 49 50
41 12 9 16 26
33 22 41 1 18
57 48 14 5 59
74 61 9 13 54
3 50 11 51 20
34 46 64 49 68
60 18 14 5 22
16 49 63 58 50
12 71 9 70 20
46 62 41 69 72
42 33 28 23 74
57 54 62 28 74
20 19 70 71 61
31 46 50 6 69
49 68 30 51 12
64 63 33 58 59
74 31 72 61 3
51 59 15 64 26
60 58 49 62 47
6 40 52 50 42
14 65 5 28 30
54 62 42 9 65
22 57 72 3 18
58 50 28 11 30
49 51 41 46 63
47 59 52 1 20
19 26 12 49 20
33 1 15 71 6
18 9 30 60 31
13 74 3 64 72
41 68 14 28 11
26 5 24 12 68
30 48 19 18 42
71 3 57 65 15
31 46 34 50 9
51 70 23 11 33
58 5 13 46 59
61 1 52 22 49
15 40 12 14 6
51 72 20 57 70
47 68 65 33 62
34 23 62 54 68
31 15 65 69 72
11 41 63 70 33
48 58 61 52 46
12 59 28 3 20
47 60 12 63 54
33 5 73 11 64
69 15 52 18 57
24 50 59 26 65
62 46 28 9 23
5 71 68 70 73
48 60 22 20 54
51 47 63 41 42
40 49 61 6 26
14 30 19 52 15
48 52 5 69 70
46 13 42 26 41
51 9 30 1 6
58 19 64 22 59
16 3 54 11 33
48 42 18 30 61
24 64 23 47 6
31 74 1 12 51
22 34 14 26 13
9 3 40 54 33
19 3
1 75 17 57 27 62 9 52 37 60 47 67 15 73 3 2 18 23 59
534 748 906 580
74 41 69 9 18
20 52 4 64 15
16 21 31 73 32
57 60 37 75 24
23 29 67 8 49
32 60 17 46 59
56 18 28 42 1
71 4 57 49 51
22 3 73 52 66
15 41 34 21 13
18 52 49 75 62
19 23 48 69 6
32 13 17 15 51
47 38 9 20 73
59 57 67 46 74
10 12
23 72 1 46 64 31 7 35 18 19
298 509 720 621
59 50 19 28 26
29 44 64 61 8
38 57 71 62 70
40 43 1 49 72
20 53 30 27 73
8 45 50 62 18
44 36 60 33 48
63 25 74 31 73
38 26 24 54 19
35 7 3 40 61
2 27 75 25 38
23 29 48 1 28
72 50 33 46 63
18 40 54 73 70
57 3 30 36 20
47 28 1 74 63
72 51 60 43 75
25 64 48 35 24
62 73 71 40 45
54 9 59 19 3
61 20 43 3 48
60 74 29 2 13
35 25 18 26 46
52 44 70 63 59
71 1 73 64 51
64 1 60 24 47
28 57 46 71 74
33 7 73 13 43
54 18 40 59 44
70 8 20 26 38
66 51 26 31 25
36 59 43 52 8
44 29 54 18 50
71 45 57 63 38
35 48 49 24 73
20 50 72 61 63
53 30 52 64 3
9 47 40 26 25
75 51 8 2 28
1 48 38 60 33
51 75 38 61 26
19 74 70 29 52
40 33 54 64 43
48 30 18 27 3
57 60 35 8 59
13 51 74 23 45
66 3 57 47 24
44 43 2 63 75
49 33 70 9 52
1 27 62 48 40
61 40 44 51 43
20 28 1 64 2
38 60 52 27 29
36 30 25 13 47
70 24 8 46 72
45 7 75 51 36
38 8 40 72 74
48 52 44 27 13
66 25 43 31 9
19 64 24 3 50
23 1
71 74 22 65 54 72 5 60 28 37 46 14 52 58 30 12 61 6 4 43 47 42 49
854 448 72 314
21 47 26 39 65
59 5 31 32 70
58 33 44 12 61
4 37 75 34 54
74 67 72 60 46
66 21
14 57 22 29 1 68 20 26 63 9 7 13 45 74 72 4 37 59 19 38 61 48 41 5 43 39 34 2 32 64 66 73 44 15 50 51 30 62 70 55 53 6 18 8 65 35 21 36 40 47 60 69 52 54 75 12 46 28 11 71 27 58 56 31 17 10
308 515 31 104
39 36 8 14 15
70 73 19 21 13
68 65 20 38 62
37 30 22 34 41
43 2 48 47 4
51 22 65 34 5
13 72 70 38 43
19 59 18 50 55
2 39 40 47 1
26 53 74 57 63
39 40 2 61 45
32 26 47 64 63
70 18 13 72 65
8 37 59 6 7
15 41 1 57 74
18 43 5 48 20
1 50 36 2 63
34 38 30 21 9
44 14 47 29 62
6 35 73 45 68
63 4 61 51 50
15 66 8 48 2
59 44 21 32 5
55 7 22 14 26
1 65 34 37 40
47 13 18 14 72
43 2 70 32 20
57 9 53 26 35
74 40 30 50 1
51 8 61 59 15
5 20 72 36 44
38 26 41 35 19
70 53 32 2 57
40 50 29 15 1
68 64 43 62 22
26 40 8 22 35
30 6 61 63 47
36 57 43 59 41
34 62 66 68 32
21 2 74 73 1
50 39 9 48 63
66 29 53 19 14
61 8 2 43 59
21 26 72 18 1
57 73 62 55 22
66 51 41 36 48
6 26 7 65 72
55 47 5 30 21
22 8 2 35 59
20 1 68 14 29
19 53 70 7 61
39 21 15 36 5
6 22 48 55 32
18 1 72 37 68
9 73 35 74 47
65 15 61 55 36
66 53 13 8 4
43 6 41 32 72
20 39 35 26 1
64 37 44 40 59
38 9 53 68 26
22 63 62 70 39
55 13 41 34 32
2 73 19 40 47
15 50 4 65 59
41 73 40 64 38
68 26 7 62 29
8 37 5 57 19
30 4 72 70 9
20 63 36 51 15
50 45 72 7 62
5 68 53 44 29
66 9 57 35 2
40 41 34 1 30
36 20 8 13 64
59 1 5 13 62
64 26 37 53 19
44 30 21 36 22
29 65 6 34 43
40 41 73 51 35
61 57 70 21 4
45 35 74 22 53
62 73 8 34 29
5 36 15 38 44
14 66 40 32 50
41 72 2 4 53
35 59 13 26 64
30 68 7 74 57
20 21 36 47 44
9 73 48 45 70
9 4 37 57 65
47 38 73 29 36
53 30 68 40 50
66 22 43 7 20
61 13 39 32 63
8 44 40 21 39
36 73 45 66 6
70 47 5 37 38
55 43 18 15 74
72 53 30 22 20
6 72 57 61 43
62 39 29 8 22
18 37 15 45 73
65 35 68 47 38
34 1 70 74 5
63 16
31 20 13 24 30 49 18 29 28 70 59 62 42 75 3 17 51 64 5 53 69 1 57 60 35 68 8 25 43 2 73 63 54 23 12 56 58 10 15 4 7 45 72 32 71 44 46 66 6 22 16 67 48 74 37 55 38 40 36 14 19 41 47
398 679 794 584
53 24 13 43 49
54 2 3 66 75
46 20 51 7 25
58 60 69 6 42
68 45 63 72 59
7 5 43 32 73
31 12 58 42 62
64 13 45 57 8
71 29 2 15 69
35 10 63 17 68
68 49 22 20 31
64 66 63 17 69
56 43 28 73 42
25 15 3 59 18
35 51 75 7 12
66 57 75 30 64
72 18 54 62 28
60 23 15 4 2
8 68 25 70 7
51 1 59 12 71
31 63 22 71 46
75 29 4 3 62
32 18 6 8 68
60 1 58 23 30
17 20 59 24 2
22 30 51 72 44
17 2 8 59 62
5 10 56 57 68
75 45 1 64 66
28 53 43 29 42
12 71 29 7 75
73 13 56 4 63
53 6 72 46 59
23 44 18 5 51
43 2 17 42 3
68 18 69 75 56
31 20 25 42 10
12 4 6 35 53
43 60 63 32 62
73 3 71 29 51
31 29 23 10 68
57 25 8 62 58
45 63 56 32 24
72 20 59 73 51
60 53 71 4 12
22 44 46 35 12
59 64 53 3 28
17 51 62 68 43
66 29 1 15 42
30 69 5 73 75
54 17 57 45 53
66 25 69 7 13
62 56 68 30 59
51 2 29 60 31
72 1 4 64 44
5 8 73 64 18
30 10 57 3 71
51 24 56 72 4
6 29 63 23 17
46 7 58 44 20
46 1 4 24 12
20 56 53 75 42
43 72 68 13 69
45 54 73 3 5
15 57 22 59 30
75 66 28 68 8
15 25 42 63 44
17 62 64 53 22
10 60 73 69 6
18 59 4 57 23
42 46 8 72 32
15 29 24 4 43
12 44 30 13 18
5 53 23 62 28
51 7 70 54 25
62 29 3 56 68
53 25 6 46 66
30 8 13 4 28
59 60 7 49 5
10 43 35 15 17
33 30
33 46 63 54 32 50 20 2 48 21 5 64 19 72 70 28 68 36 69 75 74 17 71 34 26 38 40 44 56 45 12 55 39
93 771 500 276
23 15 40 55 62
69 29 50 53 71
72 25 34 63 45
21 64 38 39 14
27 68 24 6 56
58 63 62 2 29
67 34 33 15 32
38 17 54 71 28
5 25 64 20 53
24 40 74 45 56
37 21 54 34 63
18 67 64 58 6
17 56 19 29 55
33 71 74 50 73
39 40 75 38 66
5 64 66 26 55
58 63 23 40 50
17 39 34 38 56
14 73 12 71 27
54 6 44 19 75
26 74 68 39 17
72 6 55 15 56
62 73 38 71 14
32 20 58 37 45
46 4 23 70 2
46 64 69 34 18
70 12 27 2 74
53 54 37 24 14
21 6 67 38 29
58 50 62 17 73
28 63 6 62 40
45 39 24 68 56
18 75 70 34 4
67 50 53 23 17
21 33 12 38 25
15 58 40 27 55
34 69 20 12 37
68 36 21 62 64
33 56 17 48 72
75 14 18 44 19
62 56 40 29 46
18 26 33 48 68
4 5 28 6 23
54 55 24 37 50
66 71 21 58 32
38 39 71 20 5
45 12 62 68 73
28 18 53 48 19
23 37 40 50 34
36 64 56 69 29
71 66 67 68 45
74 5 50 69 2
55 48 20 28 12
53 40 63 27 56
29 36 25 38 26
48 34 29 36 39
2 54 25 56 44
73 64 70 40 75
68 53 71 46 72
69 28 6 21 63
36 73 55 26 50
45 75 40 48 64
14 25 71 44 56
34 58 66 72 28
54 6 12 15 4
6 24 62 48 38
39 23 66 72 45
19 26 74 54 75
68 36 2 14 21
20 40 73 50 25
45 67 2 14 58
27 21 18 17 54
50 72 19 64 28
32 71 70 15 5
66 12 23 55 29
46 40 2 64 6
4 21 14 44 15
37 23 58 12 25
53 39 56 71 67
27 36 69 63 17
24 18 5 44 70
62 26 36 71 12
23 14 63 50 40
45 55 20 28 25
67 27 64 38 32
18 6 29 71 15
36 69 38 27 24
63 72 21 46 45
34 4 5 40 32
62 20 54 23 48
12 66 4 58 56
44 5 37 38 70
39 21 68 67 74
23 62 45 46 53
27 34 69 33 72
75 69 54 21 53
14 34 20 6 19
18 24 32 73 56
67 50 44 40 66
58 46 37 64 38
62 44 69 66 5
32 39 2 14 37
36 17 19 50 27
38 40 25 72 15
20 4 46 12 55
71 50 63 15 21
58 75 32 6 27
33 4 72 36 5
25 69 24 62 2
64 19 73 14 48
68 50 72 29 25
38 74 63 26 39
37 55 36 70 21
12 4 18 27 48
53 45 69 24 2
12 33 73 40 19
54 2 68 23 71
39 32 17 53 55
20 29 45 25 21
34 70 18 46 75
40 55 28 46 68
2 48 33 66 18
37 27 25 53 39
50 24 17 45 62
74 58 5 32 29
34 14 45 28 36
33 38 70 5 62
4 25 71 29 18
50 58 2 55 73
17 44 21 66 6
55 28 73 70 17
29 5 32 69 15
18 39 46 36 44
2 20 27 6 75
54 12 50 38 24
39 56 23 44 20
72 34 12 36 6
27 74 53 26 58
29 67 19 62 50
75 63 64 69 28
66 6 64 14 25
32 12 33 15 5
20 53 44 40 4
72 17 38 29 50
24 39 48 45 19
71 67 32 70 63
38 68 73 2 23
45 72 28 50 29
36 20 74 54 19
69 5 14 75 37
22 27
26 72 70 54 22 10 69 12 75 17 45 71 25 28 40 1 5 52 11 13 30 31
356 40 241 569
46 28 26 70 17
47 21 48 58 16
7 18 43 75 72
8 25 45 35 57
60 42 62 71 56
28 16 21 22 42
18 10 60 8 62
26 30 14 52 39
3 73 56 71 4
75 69 20 40 19
2 8 31 50 11
61 3 19 46 48
17 70 40 25 26
42 28 57 74 52
5 7 16 4 13
72 16 14 74 46
10 39 73 3 12
2 20 58 54 61
30 70 71 75 13
56 31 8 48 43
16 8 40 28 71
3 17 13 62 1
22 45 14 48 54
50 39 72 43 73
11 4 7 21 19
25 7 1 22 18
72 10 61 48 45
52 50 73 8 28
20 21 40 56 35
14 16 11 9 13
8 35 21 17 52
7 40 31 19 13
43 1 75 11 16
60 57 61 30 39
28 71 2 5 14
50 16 46 9 73
14 17 5 25 1
42 28 47 70 52
11 45 57 56 75
12 60 19 71 13
46 50 31 43 71
8 72 54 12 73
26 40 56 57 4
45 1 39 16 7
35 9 21 69 42
72 56 10 43 69
20 75 57 40 52
42 12 45 46 18
3 17 31 48 54
4 13 50 73 58
26 57 50 25 14
22 19 39 9 10
45 43 12 62 28
18 20 31 1 73
4 40 52 58 30
61 11 50 62 21
43 28 2 74 70
56 52 8 9 7
4 26 18 48 39
17 22 72 69 13
70 45 25 58 1
50 22 75 73 56
18 21 28 26 60
9 14 19 2 7
40 10 5 11 17
17 39 11 2 9
60 46 70 52 30
56 1 7 10 61
5 45 26 31 16
13 14 50 40 62
74 48 35 9 69
47 16 14 8 7
46 57 40 45 19
22 70 20 11 12
21 31 25 75 10
69 45 4 47 39
28 42 7 9 14
62 19 17 48 11
50 58 43 56 61
31 30 8 72 60
45 74 52 58 1
8 69 20 31 30
16 72 19 3 7
57 4 39 42 60
40 47 28 18 75
60 46 28 13 50
9 56 43 69 52
12 26 57 39 71
31 1 25 5 7
75 22 4 16 73
18 71 43 12 3
58 11 54 25 69
48 61 47 73 70
8 56 17 21 9
7 45 52 62 57
73 11 30 31 75
14 25 7 13 48
12 62 16 21 74
69 61 72 2 3
52 71 40 39 1
4 11 10 31 50
73 21 42 18 69
2 16 13 58 22
35 46 8 56 70
43 72 12 25 60
42 10 18 70 52
73 20 28 47 9
48 25 43 4 22
71 39 69 61 7
13 16 60 74 3
42 56 54 1 57
8 45 74 46 43
60 70 35 69 10
19 22 20 2 17
71 13 73 5 48
46 13 12 45 40
14 11 20 70 39
57 2 8 54 43
52 75 50 21 26
74 10 48 60 71
39 46 14 16 74
7 35 18 2 60
61 40 45 17 19
47 31 22 42 25
71 4 12 20 28
16 57 46 48 35
50 71 2 7 5
62 1 54 25 9
39 60 31 20 43
14 12 47 4 72
26 9 69 31 35
45 42 17 47 16
48 56 1 75 2
74 5 18 72 70
60 58 43 13 11
46 27
54 59 52 75 29 58 13 24 27 23 7 36 6 33 73 42 17 25 28 21 32 34 37 15 70 41 40 61 49 44 11 63 64 68 57 31 39 72 19 65 71 16 46 35 22 1
905 195 286 211
49 70 72 28 2
17 29 16 31 11
34 21 58 75 63
27 18 57 52 65
1 32 68 15 36
15 69 54 35 27
75 40 17 46 34
72 18 64 33 73
55 2 49 71 7
37 28 24 39 41
54 17 13 33 23
31 34 72 36 28
69 11 65 46 41
27 70 21 71 6
55 59 68 7 35
41 52 73 42 24
7 49 61 17 33
13 57 68 22 32
25 71 72 16 35
44 69 19 31 34
28 23 7 1 52
75 2 41 73 40
46 32 35 59 54
6 69 44 15 37
61 58 71 57 27
58 73 28 65 75
37 29 59 69 68
64 70 39 55 54
41 19 46 6 22
21 72 2 1 27
52 57 17 64 37
29 72 23 58 46
65 70 49 35 16
41 69 59 28 2
36 44 6 55 32
34 6 31 35 18
46 11 7 49 33
36 41 16 69 23
17 57 40 28 1
54 21 64 58 32
41 71 64 11 23
55 57 1 34 17
44 65 75 33 59
16 22 39 58 29
42 32 24 18 25
11 17 49 71 72
13 15 28 39 73
16 32 42 29 2
58 75 21 37 44
34 52 7 59 41
13 15 18 44 16
25 37 52 63 6
1 39 73 71 59
19 17 55 2 72
24 54 49 27 33
70 39 7 73 36
34 61 24 17 68
33 65 19 49 22
32 1 25 37 28
6 44 11 21 46
27 46 16 72 57
37 65 73 69 49
42 61 28 54 18
39 63 15 70 6
21 23 11 41 36
52 70 49 58 19
37 46 34 55 64
71 72 69 13 7
1 39 68 63 15
61 21 75 54 2
36 44 25 32 65
73 71 68 42 6
1 28 16 15 21
39 63 17 75 46
13 11 31 40 27
61 75 18 27 13
1 73 37 19 58
69 35 31 33 7
21 15 72 41 39
16 44 24 55 70
18 19 70 24 72
33 21 64 49 46
1 55 36 69 75
59 37 58 40 28
11 63 15 17 61
70 13 64 40 33
24 55 7 29 57
31 72 65 19 69
17 54 21 6 59
42 49 52 46 44
27 72 55 1 19
36 61 40 11 16
41 22 25 2 34
69 39 42 7 17
71 59 54 29 18
59 73 54 55 15
7 75 32 1 16
72 31 69 39 6
46 61 2 27 24
36 11 63 35 44
23 16 21 64 68
35 6 63 28 17
44 65 36 61 73
22 42 32 57 72
55 29 58 37 27
61 2 63 54 65
71 27 55 70 29
22 46 44 15 19
75 52 57 58 42
31 23 59 11 69
73 13 75 54 19
29 70 59 64 2
24 41 6 35 57
40 25 31 11 42
65 68 18 61 34
61 69 7 23 32
13 42 54 17 72
70 46 68 34 40
24 58 2 64 28
73 49 52 6 22
57 31 70 29 23
36 46 75 6 69
37 73 18 71 27
15 24 42 65 59
52 19 1 34 25
17 16 52 7 64
59 75 32 2 41
23 63 29 21 28
39 71 61 15 37
22 34 54 72 42
40 19 6 69 42
55 57 15 33 29
27 35 7 63 36
2 72 13 70 52
21 59 75 71 25
14 10
55 42 35 24 10 56 68 28 3 38 9 18 49 31
262 770 513 813
75 4 56 44 40
31 57 33 60 17
16 42 49 46 34
59 55 65 41 18
19 27 26 73 45
33 9 73 75 35
43 68 24 65 23
59 34 18 6 60
74 36 28 52 39
4 26 40 56 38
65 16 10 35 60
57 45 4 59 52
31 42 11 36 44
9 6 33 18 58
25 38 74 8 68
40 54 42 74 11
41 26 52 2 59
46 23 49 43 3
18 35 33 8 73
27 19 28 45 58
60 35 11 17 6
68 2 31 43 26
42 58 25 75 9
46 7 55 54 34
74 3 39 38 33
42 36 3 75 28
27 38 31 6 57
59 68 44 49 41
53 74 25 39 43
4 73 2 24 15
56 44 4 34 6
49 19 24 5 15
43 26 33 58 2
55 68 31 40 28
54 9 27 46 17
25 4 16 17 36
58 6 28 18 34
11 46 31 53 45
5 74 43 7 54
40 3 59 33 2
55 27 43 2 74
34 36 18 45 54
25 58 15 41 6
24 31 46 52 38
11 5 9 28 75
8 74 46 49 60
5 58 10 15 68
9 73 38 17 31
26 53 54 40 11
23 19 43 2 27
52 15
34 31 66 39 73 49 22 71 5 24 55 35 65 18 19 10 75 28 64 74 50 2 59 58 15 25 52 16 67 47 6 70 32 54 61 33 63 29 44 20 37 56 42 53 14 13 30 62 21 68 72 45
850 813 991 110
15 22 28 2 68
16 55 21 44 58
5 34 56 24 20
49 53 33 64 70
42 73 74 66 37
73 66 68 15 28
70 20 35 55 67
65 49 47 59 2
53 25 71 64 32
56 61 10 18 22
64 2 74 66 32
63 56 68 22 67
49 34 55 15 24
10 16 42 29 61
65 54 39 18 20
31 16 2 35 53
21 42 50 33 25
22 66 18 54 39
44 13 64 55 24
29 63 52 34 62
5 22 35 20 55
33 44 16 21 39
65 74 2 18 42
32 29 30 71 15
50 28 24 54 68
58 68 29 64 61
28 35 33 5 16
30 49 18 2 47
65 70 34 21 25
10 24 71 37 39
19 70 59 34 33
29 52 16 39 71
66 14 65 21 32
75 22 25 53 35
18 56 13 24 31
58 15 66 55 68
49 5 24 35 13
19 32 16 67 56
25 65 74 30 33
18 10 29 6 73
35 29 33 20 49
32 54 25 14 22
67 44 63 15 68
58 10 30 70 50
71 47 6 19 75
71 68 66 49 33
5 30 58 25 44
54 56 13 15 32
64 10 34 28 24
61 35 6 59 47
75 22 68 59 6
54 21 61 16 2
53 14 66 71 31
18 29 24 63 37
47 44 42 50 73
59 71 10 30 52
39 65 16 64 62
55 33 67 63 54
61 28 21 70 74
6 32 58 31 2
20 37 42 14 68
67 15 59 63 32
73 31 61 70 44
55 19 54 2 24
25 74 71 49 64
13 21 50 71 70
53 30 16 6 35
18 61 49 63 28
73 25 39 10 34
58 67 33 47 14
34 47 39 19 25
16 5 42 35 61
30 58 31 29 24
22 32 68 37 14
70 62 59 44 6
5 4
38 4 75 29 49
800 192 787 663
2 71 41 64 38
53 50 59 20 13
58 16 31 10 12
75 32 70 17 36
11 1 49 63 37
65 16 62 11 13
64 40 63 33 71
59 41 29 53 15
25 44 10 17 38
14 21 22 1 58
15 51 50 16 63
20 44 36 75 10
74 8 5 32 70
65 59 24 25 62
71 43 30 4 49
4 16 53 32 30
58 54 41 51 68
21 2 17 1 14
31 36 62 19 64
70 72 38 43 33
7 14
6 14 51 67 65 75 24
190 879 700 821
11 41 61 72 46
75 16 71 15 12
33 49 47 24 62
68 65 19 45 42
32 73 4 8 10
4 49 52 65 20
7 29 54 28 13
53 33 16 67 44
45 3 38 42 64
24 58 71 73 25
15 12 8 59 16
71 7 65 6 37
54 32 74 61 35
49 24 3 38 73
58 51 28 42 64
59 6 50 14 67
24 4 19 58 37
16 46 65 49 25
20 63 53 51 35
52 7 33 32 71
64 32 28 29 75
7 45 54 52 19
50 61 14 68 3
8 10 72 59 51
15 37 49 44 46
11 37 10 15 12
35 41 75 13 53
46 28 74 52 4
7 38 72 14 64
20 73 27 29 32
20 51 28 59 19
52 46 11 63 25
74 13 67 3 72
49 64 73 71 16
6 35 33 4 62
47 16 62 75 11
20 15 10 54 35
72 45 51 29 42
41 12 24 28 67
25 32 6 73 33
61 49 72 3 54
47 52 15 38 29
25 27 51 24 65
75 71 11 68 12
4 37 35 58 46
15 14 33 65 28
